City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
438,Montepuez,-13.1256,38.9997,72.43,71,35,9.78,scattered clouds,MZ,2021-10-10 19:49:07
439,Bloemfontein,-29.1211,26.214,60.28,41,0,9.22,clear sky,ZA,2021-10-10 19:49:07
440,Dudinka,69.4058,86.1778,24.24,93,100,7.27,overcast clouds,RU,2021-10-10 19:49:08
441,Tromso,69.6496,18.957,46.42,93,90,9.22,overcast clouds,NO,2021-10-10 19:49:08
442,Bogovarovo,58.9785,47.0246,47.19,88,100,7.76,overcast clouds,RU,2021-10-10 19:49:08
443,Ukiah,39.1502,-123.2078,81.12,36,1,0.0,clear sky,US,2021-10-10 19:49:09
444,Broome,42.2506,-75.833,70.92,71,90,5.01,overcast clouds,US,2021-10-10 19:49:09
445,Deputatskiy,69.3,139.9,19.13,85,100,3.67,overcast clouds,RU,2021-10-10 19:49:09
446,Ouargaye,11.5033,0.0572,86.41,43,45,7.45,scattered clouds,BF,2021-10-10 19:49:10
447,Sheridan,44.8333,-106.9173,65.01,34,1,1.99,clear sky,US,2021-10-10 19:47:15
448,Barranca,-10.75,-77.7667,67.21,76,37,10.22,scattered clouds,PE,2021-10-10 19:49:10
449,Todos Santos,23.45,-110.2167,95.11,71,100,6.82,overcast clouds,MX,2021-10-10 19:49:10
450,Burnie,-41.0667,145.9167,41.94,71,0,6.22,clear sky,AU,2021-10-10 19:49:11
451,Varhaug,58.6147,5.6457,52.9,76,27,19.17,scattered clouds,NO,2021-10-10 19:49:11
452,Bolu,40.6667,31.5833,54.86,90,56,1.72,broken clouds,TR,2021-10-10 19:49:11
453,Morehead,37.2711,-87.1764,87.51,50,1,9.22,clear sky,US,2021-10-10 19:49:11
454,Cody,44.5263,-109.0565,60.62,39,75,18.41,broken clouds,US,2021-10-10 19:49:12
455,Tahe,52.3333,124.7333,29.28,89,2,5.55,clear sky,CN,2021-10-10 19:49:12
456,Novyy Urengoy,66.0833,76.6333,28.15,67,24,11.03,few clouds,RU,2021-10-10 19:49:13
457,Big Bend,-26.8167,31.9333,63.39,58,29,7.29,scattered clouds,SZ,2021-10-10 19:49:13
458,Venezuela,8.0,-66.0,92.68,48,80,6.31,broken clouds,VE,2021-10-10 19:49:13
459,Kolondieba,11.0882,-6.8926,80.64,68,100,4.79,overcast clouds,ML,2021-10-10 19:49:14
460,Pak Chong,14.708,101.4161,74.35,92,100,3.4,light rain,TH,2021-10-10 19:49:14
461,Zaraza,9.3503,-65.3245,91.35,49,57,6.06,broken clouds,VE,2021-10-10 19:49:14
462,Birao,10.2849,22.7882,79.75,43,81,5.37,broken clouds,CF,2021-10-10 19:49:14
463,Tecoanapa,16.5167,-98.75,85.01,70,2,9.19,clear sky,MX,2021-10-10 19:49:15
464,Panaba,21.2833,-88.2667,88.11,59,82,14.47,broken clouds,MX,2021-10-10 19:49:15
465,Troitsk,54.0979,61.5773,38.1,96,100,3.8,overcast clouds,RU,2021-10-10 19:49:15
466,San Rafael,-34.6177,-68.3301,73.72,33,45,13.76,scattered clouds,AR,2021-10-10 19:49:16
467,Sorong,-0.8833,131.25,79.63,84,100,6.11,overcast clouds,ID,2021-10-10 19:49:16
468,Ellisras,-23.6649,27.7443,63.72,65,0,16.33,clear sky,ZA,2021-10-10 19:49:16
469,Saquena,-4.6667,-73.5167,92.1,50,37,2.98,scattered clouds,PE,2021-10-10 19:49:17
470,Ozark,37.0209,-93.206,84.88,53,0,4.0,clear sky,US,2021-10-10 19:49:17
471,Ordu,40.9086,37.6845,52.3,91,27,1.28,scattered clouds,TR,2021-10-10 19:49:17
472,Dzhebariki-Khaya,62.2167,135.8,28.67,79,100,3.96,overcast clouds,RU,2021-10-10 19:49:17
473,Yacuiba,-22.038,-63.6797,73.17,64,96,4.83,overcast clouds,BO,2021-10-10 19:49:18
474,Tekeli,44.83,78.8239,34.38,99,100,3.78,snow,KZ,2021-10-10 19:49:18
475,Luderitz,-26.6481,15.1594,70.45,41,11,6.44,few clouds,NA,2021-10-10 19:49:18
476,Buchanan,5.8808,-10.0467,78.76,85,100,6.26,light rain,LR,2021-10-10 19:49:19
477,Chara,56.9064,118.2631,27.36,68,19,4.12,few clouds,RU,2021-10-10 19:49:19
478,Kununurra,-15.7667,128.7333,78.78,73,99,3.44,overcast clouds,AU,2021-10-10 19:49:19
