City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Yenagoa,NG,2021-09-02 01:09:14,4.9247,6.2642,74.17,93,100,1.59
183,Nileshwar,IN,2021-09-02 01:09:14,12.25,75.1,77.31,86,74,3.4
184,Koshki,RU,2021-09-02 01:09:14,54.2091,50.4677,62.85,40,100,7.87
185,Belyy Yar,RU,2021-09-02 01:09:15,53.6039,91.3903,53.49,71,0,6.71
186,Bethel,US,2021-09-02 01:06:18,41.3712,-73.414,68.05,94,90,5.99
187,Atar,MR,2021-09-02 01:09:15,20.5169,-13.0499,93.04,22,6,1.25
188,Mombetsu,JP,2021-09-02 01:09:15,44.3525,143.3525,63.34,78,75,4.21
189,Vila Velha,BR,2021-09-02 01:09:15,-20.3297,-40.2925,66.15,94,0,2.3
190,Gat,IL,2021-09-02 01:09:16,31.61,34.7642,77.68,74,0,3.67
191,Port Elizabeth,ZA,2021-09-02 01:09:16,-33.918,25.5701,51.1,91,100,9.55
192,Mindelo,CV,2021-09-02 01:09:16,16.8901,-24.9804,80.15,83,40,14.97
193,Trang,TH,2021-09-02 01:09:17,7.5,99.5,77.49,92,100,1.66
194,Atambua,ID,2021-09-02 01:09:17,-9.1061,124.8925,83.19,53,7,3.06
195,Gumla,IN,2021-09-02 01:09:17,23.05,84.55,75.04,86,73,4.05
196,Barcelos,PT,2021-09-02 01:09:17,41.5388,-8.6151,65.91,95,88,1.25
197,Soure,BR,2021-09-02 01:09:18,-0.7167,-48.5233,79.27,79,80,9.91
198,Kloulklubed,PW,2021-09-02 01:09:18,7.0419,134.2556,86.5,71,53,3.96
199,Lithakia,GR,2021-09-02 01:09:18,37.7167,20.8333,74.57,64,0,15.48
200,Nikolskoye,RU,2021-09-02 01:09:19,59.7035,30.7861,48.09,95,15,6.06
201,Galle,LK,2021-09-02 01:09:19,6.0367,80.217,78.3,86,100,9.6
202,Zaraza,VE,2021-09-02 01:09:19,9.3503,-65.3245,74.88,92,21,2.89
203,Hervey Bay,AU,2021-09-02 01:04:29,-25.2986,152.8535,77.04,61,0,17.02
204,Bitam,GA,2021-09-02 01:09:19,2.076,11.5007,67.84,99,78,4.0
205,Saquarema,BR,2021-09-02 01:09:20,-22.92,-42.5103,69.82,92,5,9.51
206,Severnyy,RU,2021-09-02 01:09:20,50.677,36.5532,57.24,94,75,8.95
207,Tynda,RU,2021-09-02 01:09:20,55.1667,124.7167,66.79,69,14,1.5
208,Tokur,RU,2021-09-02 01:09:21,53.1333,132.9,60.64,62,10,2.48
209,General Roca,AR,2021-09-02 01:09:21,-39.0333,-67.5833,54.0,55,67,12.35
210,Itoman,JP,2021-09-02 01:09:21,26.1247,127.6694,88.18,79,20,9.22
211,Biga,TR,2021-09-02 01:09:21,40.2281,27.2422,66.43,69,6,5.59
212,Aleksandrovskoye,RU,2021-09-02 01:09:22,44.7142,43.0008,66.34,89,100,6.42
213,Zakharovo,RU,2021-09-02 01:09:22,54.366,39.2792,53.13,92,100,6.73
214,Gudari,IN,2021-09-02 01:09:22,19.35,83.7833,77.07,94,100,1.41
215,Gari,RU,2021-09-02 01:09:23,59.4307,62.3497,49.03,69,100,11.34
216,Krivosheino,RU,2021-09-02 01:09:23,57.3431,83.9261,44.76,88,96,3.02
217,Khash,IR,2021-09-02 01:09:23,28.2211,61.2158,72.59,13,0,4.74
218,Panaba,MX,2021-09-02 01:09:23,21.2833,-88.2667,83.12,57,100,12.55
219,Plettenberg Bay,ZA,2021-09-02 01:09:24,-34.0527,23.3716,51.85,81,100,3.98
