City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
277,Sambava,MG,69.96,broken clouds,-14.2667,50.1667,Melrose
278,Cambrils,ES,65.93,scattered clouds,41.0748,1.0524,Sol Port Cambrils
279,Bhawanipatna,IN,72.16,clear sky,19.9,83.1667,Bhagirathi inn
281,Luebo,CD,73.74,light rain,-5.35,21.4167,
282,Virginia Beach,US,79.02,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
285,Taber,CA,64.4,scattered clouds,49.8167,-112.1518,Taber Motel
289,Namatanai,PG,79.11,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
290,Kavaratti,IN,82.09,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
293,Ibra,OM,82.72,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
295,Tolon,GR,63.77,broken clouds,37.5202,22.8586,Dolphin Hotel
296,Maragogi,BR,78.08,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
297,Mareeba,AU,65.12,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
298,Mecca,SA,87.51,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
300,Apartado,CO,85.78,broken clouds,7.883,-76.6259,Towers100 Aparta Estudios
303,Eyl,SO,78.69,broken clouds,7.9803,49.8164,Amiin Hotel
305,Trairi,BR,81.25,clear sky,-3.2778,-39.2689,janelas do mar
309,Saiha,IN,69.91,overcast clouds,22.4833,92.9667,"Circuit House, Siaha"
312,Guerrero Negro,MX,79.88,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
315,Kuala Terengganu,MY,80.55,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
316,Hurricane,US,68.5,clear sky,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
317,Tuy Hoa,VN,77.02,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
319,Calabozo,VE,87.44,overcast clouds,8.9242,-67.4293,Hotel Giardini
320,Naliya,IN,80.74,clear sky,23.2667,68.8333,jadeja jayendrasinh
321,Edd,ER,89.55,overcast clouds,13.9297,41.6925,
322,Klungkung,ID,74.08,overcast clouds,-8.5333,115.4,Cegeng Lestari Guesthouse
323,Lompoc,US,85.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
